,code,name,current_price,percent,diff,higher,lower,contains
0,001979.SZ,招商蛇口,15.58,1.0,0.07289905749947896,0,480,0
1,300833.SZ,浩洋股份,65.08,0.9518072289156626,0.04792247763778024,4,60,19
2,000429.SZ,粤高速Ａ,6.94,0.9381443298969072,0.022106558420434762,30,407,48
3,000597.SZ,东北制药,6.27,0.8645833333333334,0.08697378872120735,65,403,12
4,300577.SZ,开润股份,29.88,0.8371134020618557,0.040869450783654754,79,345,61
5,000848.SZ,承德露露,7.52,0.797938144329897,0.06741176327355507,98,351,36
6,300773.SZ,拉卡拉,41.0,0.7976539589442815,0.04163813806141748,69,267,5
7,300773.SZ,拉卡拉,41.0,0.7976539589442815,0.04163813806141748,69,267,5
8,002202.SZ,金风科技,10.38,0.791231732776618,0.08230816649245534,100,342,37
9,002202.SZ,金风科技,10.38,0.791231732776618,0.08230816649245534,100,342,37
10,002202.SZ,金风科技,10.38,0.791231732776618,0.08230816649245534,100,342,37
11,000036.SZ,华联控股,4.2,0.7443298969072165,0.061192123001013274,124,323,38
12,000402.SZ,金 融 街,6.91,0.709278350515464,0.026767487996319884,141,290,54
13,000785.SZ,居然之家,8.87,0.6413502109704642,0.044174489232468195,170,281,23
14,300429.SZ,强力新材,16.84,0.6123711340206186,0.048763793592761416,188,249,48
15,300429.SZ,强力新材,16.85,0.6103092783505155,0.048763793592761416,189,248,48
16,000651.SZ,格力电器,55.25,0.5469728601252609,0.035780496848349996,217,214,48
17,000651.SZ,格力电器,55.24,0.5469728601252609,0.035780496848349996,217,214,48
18,000661.SZ,长春高新,357.15,0.5252100840336135,0.12191922569012248,226,238,12
19,000716.SZ,黑芝麻,3.83,0.46804123711340206,0.08355540881541407,258,187,40
20,002230.SZ,科大讯飞,35.08,0.3917525773195876,0.07173220544836635,295,128,62
21,002351.SZ,漫步者,16.18,0.3917525773195876,0.1674589300865867,295,164,26
22,002230.SZ,科大讯飞,35.08,0.3917525773195876,0.07173220544836635,295,128,62
23,000977.SZ,浪潮信息,30.93,0.3883089770354906,0.1798333812122953,293,163,23
24,000002.SZ,万 科Ａ,28.22,0.3422680412371134,0.01329692296708784,319,115,51
25,000028.SZ,国药一致,46.83,0.33608247422680415,0.07671474033448437,322,99,64
26,002838.SZ,道恩股份,28.29,0.2773109243697479,0.09319270535002859,344,113,19
27,002581.SZ,未名医药,18.3,0.21030927835051547,0.1990460953818835,383,92,10
28,000876.SZ,新 希 望,30.53,0.177319587628866,0.11374612055168185,399,73,13
29,000876.SZ,新 希 望,30.54,0.177319587628866,0.11374612055168185,399,73,13
30,000049.SZ,德赛电池,49.98,0.1360824742268041,0.08864013011128796,419,48,18
31,002555.SZ,三七互娱,41.09,0.1360824742268041,0.07550665244484359,419,53,13
32,300454.SZ,深信服,200.6,0.13402061855670103,0.049709870025509084,420,49,16
33,002511.SZ,中顺洁柔,20.89,0.13195876288659794,0.1323247774219079,421,52,12
34,002508.SZ,老板电器,35.05,0.12164948453608247,0.10166527260284396,426,43,16
35,002032.SZ,苏 泊 尔,79.9,0.10927835051546392,0.02667546215966754,432,31,22
36,000011.SZ,深物业A,16.86,0.10927835051546392,0.27935857771580463,432,42,11
37,300677.SZ,英科医疗,131.24,0.10515463917525773,0.12277804255399472,434,41,10
38,300677.SZ,英科医疗,131.24,0.10515463917525773,0.12277804255399472,434,41,10
39,300750.SZ,宁德时代,192.95,0.09484536082474226,0.049138008745561304,439,34,12
40,002415.SZ,海康威视,37.19,0.09109730848861283,0.04055486997866086,439,24,20
41,002080.SZ,中材科技,18.76,0.09072164948453608,0.09766249449401898,441,30,14
42,002080.SZ,中材科技,18.77,0.088659793814433,0.09766249449401898,442,30,13
43,000538.SZ,云南白药,108.71,0.08064516129032258,0.047712092779195824,399,11,24
44,000538.SZ,云南白药,108.77,0.08064516129032258,0.047712092779195824,399,11,24
45,300760.SZ,迈瑞医疗,328.95,0.07021276595744681,0.02022080448848457,437,23,10
46,300760.SZ,迈瑞医疗,328.61,0.07021276595744681,0.02022080448848457,437,23,10
47,300433.SZ,蓝思科技,33.04,0.05979381443298969,0.07698207489613895,456,14,15
48,002241.SZ,歌尔股份,40.41,0.05567010309278351,0.1120411795833935,458,13,14
49,002241.SZ,歌尔股份,40.41,0.05567010309278351,0.1120411795833935,458,13,14
50,002304.SZ,洋河股份,136.93,0.05154639175257732,0.05420789583603389,460,5,20
51,002304.SZ,洋河股份,136.93,0.05154639175257732,0.05420789583603389,460,5,20
52,002304.SZ,洋河股份,136.93,0.05154639175257732,0.05420789583603389,460,5,20
53,300015.SZ,爱尔眼科,48.87,0.04801670146137787,0.0807967594777411,456,11,12
54,000596.SZ,古井贡酒,228.2,0.041237113402061855,0.1385841136516391,465,12,8
55,002601.SZ,龙蟒佰利,24.51,0.032989690721649485,0.03978973927670315,469,3,13
56,000858.SZ,五 粮 液,227.02,0.0288659793814433,0.07681448626227604,471,8,6
57,000858.SZ,五 粮 液,227.0,0.0288659793814433,0.07681448626227604,471,8,6
58,000568.SZ,泸州老窖,144.39,0.024742268041237112,0.16093607883632988,473,4,8
59,300418.SZ,昆仑万维,29.52,0.016494845360824743,0.05742437153813379,477,1,7
