,code,name,current_price,higher_and_equal_than_today,diff,add,highest_compare_today,higher_than_today,lower_than_today,contains
0,601328.SH,交通银行,4.56,0.9979338842975206,0.024066176628163516,0.36146341463414644,1.3465350877192983,469,1,14
1,601988.SH,中国银行,3.2,0.9958677685950413,0.017259382101836505,0.1899901740150243,1.17321875,441,2,41
2,300833.SZ,浩洋股份,56.45,0.990990990990991,0.09559436816093815,0.697910889258643,1.6269264836138175,109,1,1
3,600016.SH,民生银行,5.18,0.9669421487603306,0.03746250091461194,0.27146418948807666,1.220752895752896,456,16,12
4,601288.SH,农业银行,3.19,0.9586776859504132,0.008842920976158413,0.180405905245891,1.1504702194357366,418,20,46
5,600516.SH,方大炭素,6.39,0.9214876033057852,0.05980948891738413,1.6015543136570032,2.3312206572769956,415,38,31
6,002948.SZ,青岛银行,4.91,0.868663594470046,0.028538594139053824,0.8201188764671802,1.7275560081466395,361,57,16
7,601169.SH,北京银行,4.74,0.8450413223140496,0.02399501402306013,0.3762447781415829,1.2858016877637128,393,75,16
8,601933.SH,永辉超市,7.8,0.8305785123966942,0.08471229785633702,0.603038261197603,1.416448717948718,385,82,17
9,000716.SZ,黑芝麻,3.3,0.7334710743801653,0.17151347370025144,1.3626596018692279,1.945757575757576,332,129,23
10,601319.SH,中国人保,6.61,0.7263157894736842,0.045393385737554,2.2144404516145477,1.9080937972768532,328,130,17
11,300577.SZ,开润股份,31.03,0.7252066115702479,0.05886194306747011,0.7771764774658533,1.3715758942958427,286,133,65
12,600919.SH,江苏银行,6.02,0.7004132231404959,0.03914647080239977,0.3284960669833106,1.175498338870432,326,145,13
13,601939.SH,建设银行,6.32,0.6115702479338843,0.02194470625196348,0.27470121983511925,1.1425316455696202,251,188,45
14,002939.SZ,长城证券,12.74,0.6053719008264463,0.06534612576603423,0.9673494830513937,1.436844583987441,257,191,36
15,600606.SH,绿地控股,6.27,0.5970772442588727,0.14649329091160604,0.9130364666276937,1.5135566188197769,250,193,36
16,000402.SZ,金 融 街,6.89,0.5909090909090909,0.016571344771960633,0.5423525679438823,1.2701015965166909,237,198,49
17,688108.SH,赛诺医疗,18.49,0.5755102040816327,0.19666482186933185,2.173494046059336,2.358031368307193,116,104,25
18,002032.SZ,苏 泊 尔,69.36,0.5619834710743802,0.1102544800513304,0.9432050190709818,1.2802768166089966,205,212,67
19,000785.SZ,居然之家,9.35,0.547568710359408,0.040456935551788434,1.105241967952331,1.3981283422459894,225,214,34
20,688981.SH,中芯国际-U,65.02,0.5277777777777778,0.10691880349955599,0.9211324570273002,1.4610888957243926,32,34,6
21,688981.SH,中芯国际-U,65.03,0.5277777777777778,0.10691880349955599,0.9211324570273002,1.4608642165154544,32,34,6
22,688256.SH,寒武纪-U,188.39,0.4857142857142857,0.06704784849237824,0.9210967741935483,1.580604066033229,27,36,7
23,000848.SZ,承德露露,7.04,0.48140495867768596,0.09642650927054598,0.6816902412085365,1.3409090909090908,200,251,33
24,000977.SZ,浪潮信息,28.18,0.4560669456066946,0.10120809855792182,2.456906325539607,1.7203690560681333,203,260,15
