,code,name,current_price,higher_and_equal_than_today,diff,add,highest_compare_today,higher_than_today,lower_than_today,contains
0,600516.SH,方大炭素,6.12,0.9876288659793815,0.06930394081232077,1.6015543136570032,2.4340686274509804,463,6,16
1,601328.SH,交通银行,4.65,0.9628865979381444,0.022642957656389982,0.3554525386313465,1.32047311827957,456,18,11
2,601988.SH,中国银行,3.24,0.9298969072164949,0.01827349121466771,0.1899901740150243,1.1587345679012346,409,34,42
3,601288.SH,农业银行,3.23,0.8783505154639175,0.009887710542732327,0.180405905245891,1.1362229102167183,343,59,83
4,300833.SZ,浩洋股份,63.14,0.8653846153846154,0.04743754274604422,0.5306666666666667,1.4545454545454546,83,14,7
5,600016.SH,民生银行,5.42,0.8144329896907216,0.024199417758369722,0.27146418948807666,1.1666974169741697,340,90,55
6,601169.SH,北京银行,4.83,0.8082474226804124,0.012062926192302164,0.3762447781415829,1.2618426501035196,364,93,28
7,688981.SH,中芯国际-U,57.35,0.8,0.146981486614588,0.9211324570273002,1.6564952048823016,41,13,11
8,688981.SH,中芯国际-U,57.35,0.8,0.146981486614588,0.9211324570273002,1.6564952048823016,41,13,11
9,601933.SH,永辉超市,7.97,0.7896907216494845,0.06737605022620258,0.6942387020594685,1.3862358845671268,356,102,27
10,688256.SH,寒武纪-U,172.88,0.7142857142857143,0.12440701250513617,0.9210967741935483,1.7224086071263303,31,18,14
11,000785.SZ,居然之家,8.78,0.6772151898734177,0.05198102348397647,1.105241967952331,1.4888952164009113,288,153,33
12,002948.SZ,青岛银行,5.37,0.639344262295082,0.015512674990541025,0.8201188764671802,1.5795716945996277,248,154,25
13,000402.SZ,金 融 街,6.83,0.6350515463917525,0.0158437298658701,0.5423525679438823,1.2812591508052709,259,177,49
14,000716.SZ,黑芝麻,3.5,0.6309278350515464,0.10396665922452934,1.3888537519997024,1.8345714285714287,282,179,24
15,002939.SZ,长城证券,13.08,0.5652173913043478,0.035547445255474465,1.4689316590912154,1.3994954128440367,237,210,36
16,688012.SH,中微公司,151.11,0.5625,0.12617341376787594,3.960053262316911,1.972073324068559,154,133,17
17,600606.SH,绿地控股,6.32,0.5604166666666667,0.14128282161477632,0.9130364666276937,1.5015822784810127,231,211,38
18,601319.SH,中国人保,7.16,0.5512820512820513,0.020551619004601524,2.2144404516145477,1.761522346368715,223,210,35
19,600919.SH,江苏银行,6.39,0.5298969072164949,0.013898289078116926,0.3284960669833106,1.1074334898278562,214,228,43
20,002202.SZ,金风科技,11.16,0.5135699373695198,0.06451126485719351,0.9490873251606633,1.2935931899641577,212,233,34
21,002202.SZ,金风科技,11.16,0.5135699373695198,0.06451126485719351,0.9490873251606633,1.2935931899641577,212,233,34
22,300577.SZ,开润股份,33.16,0.4742268041237113,0.125544840361774,0.7771764774658533,1.2834740651387215,137,255,93
23,601939.SH,建设银行,6.48,0.4639175257731959,0.03616723655579738,0.27470121983511925,1.114320987654321,191,260,34
24,002230.SZ,科大讯飞,34.72,0.4639175257731959,0.03340214335910047,1.142414475165111,1.2884043778801844,148,260,77
25,000848.SZ,承德露露,7.2,0.41237113402061853,0.08648342663060571,0.6816902412085365,1.3111111111111111,172,285,28
26,688298.SH,东方生物,153.13,0.4114285714285714,0.13901595359161886,3.746143132454467,1.8559393978972114,54,103,18
27,688298.SH,东方生物,153.5,0.4057142857142857,0.13901595359161886,3.746143132454467,1.8514657980456026,54,104,17
28,688108.SH,赛诺医疗,21.41,0.38235294117647056,0.10579195082124672,2.173494046059336,2.0364315740308268,80,147,11
29,603986.SH,兆易创新,177.01,0.38204592901878914,0.0916115234620707,6.46658045211303,1.7254714422913962,156,296,27
30,000597.SZ,东北制药,5.48,0.3760504201680672,0.07295058932438465,0.6139735024346055,1.300456204379562,111,297,68
31,688399.SH,硕世生物,206.7,0.37264150943396224,0.1669708827661609,9.002030221171703,2.2928698597000485,75,133,4
32,688399.SH,硕世生物,206.65,0.37264150943396224,0.1669708827661609,9.002030221171703,2.2934246310186306,75,133,4
33,600547.SH,山东黄金,25.48,0.3574380165289256,0.07634858024493396,1.6932707355242567,1.3306004709576138,136,311,37
34,000977.SZ,浪潮信息,31.29,0.35281837160751567,0.07816217821955194,2.456906325539607,1.5493767976989452,155,310,14
35,600420.SH,现代制药,9.84,0.3525773195876289,0.04368341684097873,0.4836423733269897,1.204268292682927,97,314,74
36,603200.SH,上海洗霸,30.5,0.334020618556701,0.09823850172723905,3.6116449971735443,2.6747540983606557,158,323,4
37,000876.SZ,新 希 望,26.65,0.3216494845360825,0.12988573764191283,6.427877422420925,1.583489681050657,148,329,8
38,000876.SZ,新 希 望,26.65,0.3216494845360825,0.12988573764191283,6.427877422420925,1.583489681050657,148,329,8
39,002838.SZ,道恩股份,28.38,0.30721649484536084,0.028051448187227105,5.364578606493131,2.1745419309372798,118,336,31
40,601211.SH,国泰君安,18.34,0.29896907216494845,0.011664944673151366,0.5661500756865855,1.1846892039258452,91,340,54
41,601179.SH,中国西电,4.67,0.2907216494845361,0.05830997842611451,1.6765990067659897,1.7196145610278373,120,344,21
