,code,name,current_price,higher_and_equal_than_today,diff,add,highest_compare_today,higher_than_today,lower_than_today,contains
0,300833.SZ,浩洋股份,55.63,0.9776119402985075,0.08396542191291914,0.697910889258643,1.650907783570016,125,3,6
1,688108.SH,赛诺医疗,15.93,0.914179104477612,0.25130566075097155,2.173494046059336,2.7369742623979914,207,23,38
2,688256.SH,寒武纪-U,167.92,0.8709677419354839,0.05278610513867681,0.9210967741935483,1.7732848975702715,60,12,21
3,601933.SH,永辉超市,7.88,0.8515463917525773,0.031539061629332406,0.5886548278093319,1.4020685279187817,384,72,29
4,000785.SZ,居然之家,8.29,0.8185654008438819,0.05143439144457641,1.105241967952331,1.5768998793727385,360,86,28
5,600516.SH,方大炭素,6.63,0.8144329896907216,0.050287398673544544,1.6015543136570032,2.2468325791855204,357,90,38
6,300577.SZ,开润股份,31.48,0.6804123711340206,0.04063965557007755,0.7771764774658533,1.3519695044472682,245,155,85
7,000716.SZ,黑芝麻,3.44,0.6804123711340206,0.06055586749017406,1.3626596018692279,1.8665697674418606,294,155,36
8,688981.SH,中芯国际-U,60.19,0.6631578947368421,0.042385268891508475,0.9211324570273002,1.5783352716398074,53,32,10
9,688981.SH,中芯国际-U,60.19,0.6631578947368421,0.042385268891508475,0.9211324570273002,1.5783352716398074,53,32,10
10,000402.SZ,金 融 街,6.92,0.6020618556701031,0.018223627479160714,0.5423525679438823,1.2645953757225432,229,193,63
11,688012.SH,中微公司,151.02,0.5808383233532934,0.09090796744631799,3.960053262316911,1.9732485763475036,165,140,29
12,603200.SH,上海洗霸,27.38,0.5072164948453608,0.10434375342547661,3.6116449971735443,2.9795471146822496,217,239,29
13,002032.SZ,苏 泊 尔,71.19,0.4927835051546392,0.056150427441547586,0.9432050190709818,1.2473662031184156,169,246,70
14,688298.SH,东方生物,142.5,0.4926829268292683,0.06988280670927154,3.746143132454467,1.9943859649122806,80,104,21
15,688298.SH,东方生物,142.5,0.4926829268292683,0.06988280670927154,3.746143132454467,1.9943859649122806,80,104,21
16,688399.SH,硕世生物,190.03,0.4834710743801653,0.14912969777153018,9.002030221171703,2.4940072620112614,104,125,13
17,688399.SH,硕世生物,190.03,0.4834710743801653,0.14912969777153018,9.002030221171703,2.4940072620112614,104,125,13
18,600547.SH,山东黄金,24.33,0.47520661157024796,0.05638511952768363,1.400686847229598,1.393493629264283,191,254,39
19,000848.SZ,承德露露,7.17,0.47010309278350515,0.022257379687098573,0.6816902412085365,1.316596931659693,190,257,38
20,000977.SZ,浪潮信息,29.48,0.4321503131524008,0.06475008766841348,2.456906325539607,1.6445047489823608,186,272,21
21,600606.SH,绿地控股,6.55,0.40625,0.0349461545501693,0.9130364666276937,1.4488549618320612,153,285,42
22,002838.SZ,道恩股份,23.39,0.3917525773195876,0.1720856004997094,5.364578606493131,2.6384566053869176,187,295,3
23,000876.SZ,新 希 望,26.67,0.3525773195876289,0.09193514927551007,5.078326875711179,1.582302212223472,156,314,15
24,000876.SZ,新 希 望,26.67,0.3525773195876289,0.09193514927551007,5.078326875711179,1.582302212223472,156,314,15
25,601179.SH,中国西电,4.56,0.32577319587628867,0.024480470025024632,1.6765990067659897,1.7610964912280702,133,327,25
26,000597.SZ,东北制药,5.62,0.3025210084033613,0.03961297862102154,0.6139735024346055,1.2680604982206405,86,332,58
27,002581.SZ,未名医药,17.81,0.29896907216494845,0.07972601712660718,5.2,1.9146546883773163,120,340,25
28,002351.SZ,漫步者,16.4,0.2865979381443299,0.01855421686746987,6.838782375804291,1.4634146341463417,91,346,48
29,603019.SH,中科曙光,36.25,0.2842323651452282,0.06059884044158529,2.090894515637704,1.489103448275862,117,345,20
30,002202.SZ,金风科技,12.35,0.2609603340292276,0.10574484944532477,0.8214565091221077,1.1689473684210527,69,354,56
31,002202.SZ,金风科技,12.35,0.2609603340292276,0.10574484944532477,0.8214565091221077,1.1689473684210527,69,354,56
32,600812.SH,华北制药,10.58,0.25,0.12055387278234521,4.1707840482334,1.9130434782608694,102,357,17
33,603986.SH,兆易创新,212.98,0.2066115702479339,0.0807180330062018,6.46658045211303,1.4340581275237112,72,384,28
34,600127.SH,金健米业,10.85,0.2,0.07738174579901,5.181132075471698,1.5096774193548386,80,388,17
35,000538.SZ,云南白药,98.56,0.1957894736842105,0.05604716898658555,0.9687279863911679,1.2987012987012987,86,382,7
36,000538.SZ,云南白药,98.56,0.1957894736842105,0.05604716898658555,0.9687279863911679,1.2987012987012987,86,382,7
37,603878.SH,武进不锈,8.29,0.18556701030927836,0.04555532460333965,0.9536281665951051,1.207478890229192,43,395,47
38,002241.SZ,歌尔股份,37.12,0.17938144329896907,0.11100056850483228,6.790737351490523,1.3531788793103448,72,398,15
39,002241.SZ,歌尔股份,37.12,0.17938144329896907,0.11100056850483228,6.790737351490523,1.3531788793103448,72,398,15
40,002511.SZ,中顺洁柔,21.28,0.17525773195876287,0.01784024228657971,2.624929904670352,1.275845864661654,61,400,24
41,600276.SH,恒瑞医药,89.99,0.1711340206185567,0.026942926363308934,2.0537725724689313,1.1667963107011892,59,402,24
42,600276.SH,恒瑞医药,89.99,0.1711340206185567,0.026942926363308934,2.0537725724689313,1.1667963107011892,59,402,24
43,600420.SH,现代制药,10.38,0.16494845360824742,0.03246440938822627,0.4836423733269897,1.1416184971098264,31,405,49
44,600988.SH,赤峰黄金,17.42,0.15657620041753653,0.052266640377253086,5.755319148936171,1.4580941446613087,59,404,16
45,000049.SZ,德赛电池,51.88,0.15257731958762888,0.03663805195533867,1.6716560786702637,1.1835003855050115,53,411,21
46,603195.SH,公牛集团,183.86,0.14705882352941177,0.08702932256061591,2.0197773951772295,1.1476123137169585,19,174,11
47,603195.SH,公牛集团,183.86,0.14705882352941177,0.08702932256061591,2.0197773951772295,1.1476123137169585,19,174,11
48,300433.SZ,蓝思科技,32.58,0.1422680412371134,0.05038202677780164,5.865417672286562,1.2136279926335176,47,416,22
49,300454.SZ,深信服,208.98,0.1422680412371134,0.030137754206718968,2.2994900858659673,1.2196382428940569,37,416,32
50,000661.SZ,长春高新,386.99,0.13865546218487396,0.045128001374511416,5.2434950927466035,1.326907672032869,58,410,8
51,300429.SZ,强力新材,18.97,0.12371134020618557,0.040553213909378306,1.4304693511156705,1.248866631523458,12,425,48
52,300429.SZ,强力新材,18.97,0.12371134020618557,0.040553213909378306,1.4304693511156705,1.248866631523458,12,425,48
53,300760.SZ,迈瑞医疗,344.99,0.11134020618556702,0.05161068921196893,3.240674794566251,1.1863822139772167,24,431,30
54,300760.SZ,迈瑞医疗,344.99,0.11134020618556702,0.05161068921196893,3.240674794566251,1.1863822139772167,24,431,30
55,002230.SZ,科大讯飞,39.37,0.10927835051546392,0.07083219712932899,0.9578179844716963,1.136230632461265,28,432,25
56,600887.SH,伊利股份,38.94,0.10309278350515463,0.029157612815200448,1.159169684365653,1.1438109912686185,28,435,22
57,603369.SH,今世缘,49.61,0.10103092783505155,0.03709923067911115,3.3143975008340663,1.1469461802056038,24,436,25
58,000596.SZ,古井贡酒,222.65,0.09690721649484536,0.029228767367336244,4.676296890081305,1.2467100830900515,22,438,25
59,000028.SZ,国药一致,50.75,0.09690721649484536,0.024628188026360222,0.5692451762897285,1.142463054187192,15,438,32
60,603866.SH,桃李面包,62.5,0.08453608247422681,0.029320397629516326,1.2974189574293817,1.08608,20,444,21
61,600161.SH,天坛生物,41.95,0.08041237113402062,0.0823256046372177,3.438046562567413,1.2750893921334923,27,446,12
62,002508.SZ,老板电器,41.02,0.07216494845360824,0.11088474764543928,1.4172004943415168,1.09190638712823,16,450,19
63,601615.SH,明阳智能,17.09,0.05752212389380531,0.04798681013536983,2.762284739376922,1.2387361029842014,12,426,14
64,601615.SH,明阳智能,17.09,0.05752212389380531,0.04798681013536983,2.762284739376922,1.2387361029842014,12,426,14
65,002415.SZ,海康威视,45.5,0.055900621118012424,0.10863366083416809,1.1797807594187253,1.1004395604395605,16,456,11
66,600519.SH,贵州茅台,1749.0,0.049484536082474224,0.01741899836652738,2.389869482607262,1.0451686678101773,6,461,18
67,600519.SH,贵州茅台,1749.0,0.049484536082474224,0.01741899836652738,2.389869482607262,1.0451686678101773,6,461,18
68,600519.SH,贵州茅台,1749.0,0.049484536082474224,0.01741899836652738,2.389869482607262,1.0451686678101773,6,461,18
69,300750.SZ,宁德时代,245.99,0.04742268041237113,0.08815033743359027,3.313368417423357,1.1188666205943332,13,462,10
70,300750.SZ,宁德时代,245.99,0.04742268041237113,0.08815033743359027,3.313368417423357,1.1188666205943332,13,462,10
71,000002.SZ,万 科Ａ,30.9,0.04536082474226804,0.07051389515765041,0.5133720500110971,1.0592233009708738,2,463,20
72,000858.SZ,五 粮 液,261.63,0.03711340206185567,0.08135058592093884,4.993452314460761,1.066391468868249,9,467,9
73,000858.SZ,五 粮 液,261.63,0.03711340206185567,0.08135058592093884,4.993452314460761,1.066391468868249,9,467,9
74,600511.SH,国药股份,47.09,0.03711340206185567,0.04420787746170691,1.596818896851357,1.104268422170312,3,467,15
75,000568.SZ,泸州老窖,186.38,0.03505154639175258,0.13288261118133615,4.505832414734867,1.0773151625710913,10,468,7
76,600048.SH,保利地产,17.27,0.03505154639175258,0.05142180094786737,0.8303724367444819,1.0828025477707006,3,468,14
77,603288.SH,海天味业,171.55,0.032989690721649485,0.009223660113279322,2.907392864292204,1.183328475663072,5,469,11
78,603288.SH,海天味业,171.55,0.032989690721649485,0.009223660113279322,2.907392864292204,1.183328475663072,5,469,11
79,300015.SZ,爱尔眼科,66.59,0.025052192066805846,0.10968230649159863,3.914403056484903,1.0566151073734795,5,467,7
80,600809.SH,山西汾酒,257.34,0.02268041237113402,0.12729515384165715,7.801937698141792,1.0972254604802987,4,474,7
81,300677.SZ,英科医疗,129.18,0.020618556701030927,0.163157365432519,14.360101975780752,1.119368323269856,1,475,9
82,300677.SZ,英科医疗,129.18,0.020618556701030927,0.163157365432519,14.360101975780752,1.119368323269856,1,475,9
83,300628.SZ,忆联网络,74.0,0.018556701030927835,0.11588155377491892,2.3916651974612133,1.0398662162162162,1,476,8
84,603615.SH,茶花股份,12.6,0.016494845360824743,0.1462138772987174,0.9164425610518023,1.1198412698412699,4,477,4
85,603615.SH,茶花股份,12.6,0.016494845360824743,0.1462138772987174,0.9164425610518023,1.1198412698412699,4,477,4
86,002304.SZ,洋河股份,182.62,0.016494845360824743,0.12350978276586999,1.4299051070233086,1.0398641988829262,0,477,8
87,002304.SZ,洋河股份,182.62,0.016494845360824743,0.12350978276586999,1.4299051070233086,1.0398641988829262,0,477,8
88,000651.SZ,格力电器,68.5,0.010438413361169102,0.12252385312970786,1.1320925912913842,1.0188321167883212,0,474,5
89,000651.SZ,格力电器,68.5,0.010438413361169102,0.12252385312970786,1.1320925912913842,1.0188321167883212,0,474,5
90,600031.SH,三一重工,31.66,0.008247422680412371,0.16014231499051235,3.39060912348254,1.0372710044219837,1,481,3
