,code,name,current_price,higher_and_equal_than_today,diff,add,highest_compare_today,higher_than_today,lower_than_today,contains
0,688256.SH,寒武纪-U,159.57,1.0,0.06324009918198038,0.9210967741935483,1.8660775835056715,92,0,7
1,300833.SZ,浩洋股份,53.43,1.0,0.08245136732174493,0.7188845218042299,1.71888452180423,139,0,1
2,601933.SH,永辉超市,7.37,0.9813664596273292,0.05798649956632691,0.5886548278093319,1.499090909090909,460,9,14
3,688108.SH,赛诺医疗,15.23,0.9708029197080292,0.20318087757956058,2.173494046059336,2.8627708470124755,251,8,15
4,000785.SZ,居然之家,8.01,0.9194915254237288,0.06520841931489883,1.105241967952331,1.6320224719101124,401,38,33
5,300577.SZ,开润股份,29.46,0.8674948240165632,0.07535116580230615,0.7771764774658533,1.4446707399864223,371,64,48
6,600516.SH,方大炭素,6.56,0.8509316770186336,0.04616859650416694,1.6015543136570032,2.2708079268292685,363,72,48
7,000402.SZ,金 融 街,6.69,0.7743271221532091,0.024983706278513932,0.5423525679438823,1.3080717488789235,331,109,43
8,600606.SH,绿地控股,6.13,0.702928870292887,0.02284873363798311,0.9130364666276937,1.5481239804241436,312,142,24
9,000848.SZ,承德露露,6.84,0.6770186335403726,0.024972557628979195,0.6816902412085365,1.3801169590643274,280,156,47
10,688981.SH,中芯国际-U,60.3,0.6732673267326733,0.0413892466900461,0.9211324570273002,1.5754560530679935,53,33,15
11,688981.SH,中芯国际-U,60.38,0.6732673267326733,0.0413892466900461,0.9211324570273002,1.573368665120901,52,33,16
12,688399.SH,硕世生物,179.2,0.5524193548387096,0.16874016171194361,9.002030221171703,2.6447332589285715,120,111,17
13,688399.SH,硕世生物,179.12,0.5524193548387096,0.16874016171194361,9.002030221171703,2.6459144707458684,121,111,16
14,600547.SH,山东黄金,23.49,0.5518672199170125,0.04749408560466,1.3818479436849278,1.4433248190719457,244,216,22
15,000977.SZ,浪潮信息,27.73,0.5387840670859538,0.059901578143560154,2.456906325539607,1.7482870537324195,233,220,24
16,002032.SZ,苏 泊 尔,70.82,0.5300207039337475,0.03657573897026572,0.9432050190709818,1.2538830838746118,180,227,76
17,000597.SZ,东北制药,5.39,0.510548523206751,0.045943167761381264,0.6139735024346055,1.322170686456401,160,232,82
18,300429.SZ,强力新材,16.3,0.5031055900621118,0.06041655337429989,1.4304693511156705,1.4534355828220857,191,240,52
19,300429.SZ,强力新材,16.31,0.4989648033126294,0.06041655337429989,1.4304693511156705,1.4525444512568977,191,242,50
20,603200.SH,上海洗霸,27.62,0.494824016563147,0.11024660022433604,3.6116449971735443,2.953656770456191,209,244,30
21,000716.SZ,黑芝麻,3.83,0.484472049689441,0.03816250391592855,1.3626596018692279,1.6765013054830287,186,249,48
22,603019.SH,中科曙光,31.67,0.4666666666666667,0.09500429407094133,2.090894515637704,1.7044521629302176,191,256,33
23,601179.SH,中国西电,4.19,0.4658385093167702,0.03857566765578645,1.6765990067659897,1.916610978520286,206,258,19
24,688012.SH,中微公司,165.91,0.45,0.06498620524480644,3.960053262316911,1.7961545416189502,119,187,34
25,000876.SZ,新 希 望,23.4,0.4078674948240166,0.07343767100798955,5.078326875711179,1.8034188034188037,194,286,3
26,000876.SZ,新 希 望,23.4,0.4078674948240166,0.07343767100798955,5.078326875711179,1.8034188034188037,194,286,3
27,002838.SZ,道恩股份,23.33,0.4057971014492754,0.13401757909672182,5.364578606493131,2.6452421774539223,190,287,6
28,002351.SZ,漫步者,15.24,0.35403726708074534,0.023121282130577913,6.838782375804291,1.574803149606299,150,312,21
29,002202.SZ,金风科技,12.18,0.33542976939203356,0.06822756046096413,0.8214565091221077,1.1852627257799673,95,317,65
30,002202.SZ,金风科技,12.19,0.32914046121593293,0.06822756046096413,0.8214565091221077,1.184290401968827,94,320,63
31,600812.SH,华北制药,9.99,0.3037974683544304,0.08925543938965808,4.1707840482334,2.0260260260260257,126,330,18
32,000028.SZ,国药一致,48.15,0.3022774327122153,0.053241257261570314,0.5692451762897285,1.204153686396677,81,337,65
33,603986.SH,兆易创新,204.75,0.2883817427385892,0.07471985699275929,6.46658045211303,1.4917006105006105,97,343,42
34,002581.SZ,未名医药,18.15,0.2857142857142857,0.05999665546427018,5.2,1.8787878787878791,110,345,28
35,600420.SH,现代制药,10.05,0.2712215320910973,0.025617955787742397,0.4836423733269897,1.1791044776119401,78,352,53
36,603878.SH,武进不锈,7.98,0.2505175983436853,0.06272985184406851,0.9536281665951051,1.2543859649122806,103,362,18
37,600127.SH,金健米业,10.74,0.2153209109730849,0.05746336789391378,5.181132075471698,1.525139664804469,82,379,22
38,002230.SZ,科大讯飞,38.13,0.2111801242236025,0.05529544093811619,0.9578179844716963,1.173181222134802,51,381,51
39,300433.SZ,蓝思科技,30.6,0.2070393374741201,0.040797698899290774,5.865417672286562,1.292156862745098,79,383,21
40,002511.SZ,中顺洁柔,20.93,0.2070393374741201,0.013693122694163291,2.624929904670352,1.2971810797897754,69,383,31
41,000049.SZ,德赛电池,51.09,0.19461697722567287,0.024903598971722413,1.6716560786702637,1.2018007437854765,64,389,30
42,000002.SZ,万 科Ａ,28.89,0.19461697722567287,0.04554324458409125,0.5133720500110971,1.1329179646936656,61,389,33
43,002241.SZ,歌尔股份,36.32,0.19254658385093168,0.08121205100730731,6.790737351490523,1.3829845814977972,87,390,6
44,002241.SZ,歌尔股份,36.31,0.19254658385093168,0.08121205100730731,6.790737351490523,1.3833654640594877,87,390,6
45,000661.SZ,长春高新,376.69,0.19198312236286919,0.04811983774265225,5.2434950927466035,1.3631898908917146,66,383,25
46,600988.SH,赤峰黄金,16.57,0.19077568134171907,0.044442112588158,5.755319148936171,1.532890766445383,84,386,7
47,600048.SH,保利地产,16.23,0.19047619047619047,0.028959599570968934,0.8303724367444819,1.1521873074553295,49,391,43
48,688298.SH,东方生物,176.5,0.1848341232227488,0.11889742352839311,3.746143132454467,1.610198300283286,30,172,9
49,688298.SH,东方生物,176.5,0.1848341232227488,0.11889742352839311,3.746143132454467,1.610198300283286,30,172,9
50,600276.SH,恒瑞医药,90.28,0.17598343685300208,0.01862589267724806,2.0537725724689313,1.163048294195835,57,398,28
51,600276.SH,恒瑞医药,90.29,0.17598343685300208,0.01862589267724806,2.0537725724689313,1.1629194816701738,57,398,28
52,600161.SH,天坛生物,40.48,0.13664596273291926,0.07460845973609566,3.438046562567413,1.3213932806324111,39,417,27
53,603866.SH,桃李面包,61.36,0.12215320910973085,0.020909750218295668,1.2974189574293817,1.10625814863103,32,424,27
54,000651.SZ,格力电器,62.77,0.1111111111111111,0.09405364959407396,1.1320925912913842,1.1118368647443047,37,424,16
55,000651.SZ,格力电器,62.78,0.1111111111111111,0.09405364959407396,1.1320925912913842,1.1116597642561326,36,424,17
56,300628.SZ,忆联网络,68.71,0.09937888198757763,0.11308320849788922,2.4159026798307477,1.1279289768592637,21,435,27
57,603195.SH,公牛集团,194.9,0.09047619047619047,0.07714746846176719,2.0197773951772295,1.0826064648537712,8,191,11
58,603195.SH,公牛集团,194.95,0.09047619047619047,0.07714746846176719,2.0197773951772295,1.082328802256989,8,191,11
59,002508.SZ,老板电器,40.59,0.08695652173913043,0.08675954840259434,1.4172004943415168,1.1034737620103472,24,441,18
60,300454.SZ,深信服,219.03,0.08074534161490683,0.04678445860830647,2.2994900858659673,1.1636762087385288,12,444,27
61,600887.SH,伊利股份,39.91,0.06832298136645963,0.024865961817908497,1.159169684365653,1.116011024805813,20,450,13
62,002415.SZ,海康威视,45.87,0.05197505197505198,0.08200352031506174,1.1797807594187253,1.091563113145847,10,456,15
63,300760.SZ,迈瑞医疗,368.89,0.037267080745341616,0.02921291738800819,3.240674794566251,1.1095177424164386,10,465,8
64,300760.SZ,迈瑞医疗,368.7,0.037267080745341616,0.02921291738800819,3.240674794566251,1.1100895036615135,10,465,8
65,603615.SH,茶花股份,12.26,0.035196687370600416,0.10865452825727115,0.9164425610518023,1.1508972267536703,8,466,9
66,603615.SH,茶花股份,12.24,0.035196687370600416,0.10865452825727115,0.9164425610518023,1.1527777777777777,8,466,9
67,601615.SH,明阳智能,17.76,0.034934497816593885,0.030177309074052482,2.762284739376922,1.1920045045045045,8,442,8
68,601615.SH,明阳智能,17.76,0.034934497816593885,0.030177309074052482,2.762284739376922,1.1920045045045045,8,442,8
69,000538.SZ,云南白药,113.93,0.02959830866807611,0.03977825799166765,0.9687279863911679,1.1234968840516106,3,459,11
70,000538.SZ,云南白药,113.93,0.02959830866807611,0.03977825799166765,0.9687279863911679,1.1234968840516106,3,459,11
71,600031.SH,三一重工,31.01,0.022774327122153208,0.13183992902633002,3.39060912348254,1.0590132215414383,5,472,6
72,603369.SH,今世缘,54.03,0.020703933747412008,0.041983742984323585,3.3143975008340663,1.0531186377938182,0,473,10
73,300015.SZ,爱尔眼科,68.6,0.018867924528301886,0.1081495957275413,3.914403056484903,1.0256559766763849,0,468,9
74,300750.SZ,宁德时代,265.98,0.018633540372670808,0.11093352555345051,3.313368417423357,1.0347770509060832,0,474,9
75,300750.SZ,宁德时代,266.0,0.018633540372670808,0.11093352555345051,3.313368417423357,1.0346992481203008,0,474,9
76,000858.SZ,五 粮 液,272.74,0.016563146997929608,0.07939242103700409,4.993452314460761,1.0229522622277627,0,475,8
77,000858.SZ,五 粮 液,272.75,0.016563146997929608,0.07939242103700409,4.993452314460761,1.0229147571035746,0,475,8
78,000568.SZ,泸州老窖,196.62,0.014492753623188406,0.11335651665387406,4.505832414734867,1.0212084223375038,0,476,7
79,600519.SH,贵州茅台,1823.05,0.012422360248447204,0.060638810306598394,2.477026958363576,1.0284962014206962,2,477,4
