,code,name,current_price,percent,diff,higher,lower,contains
0,001979.SZ,招商蛇口,16.43,0.9875,0.030009758801688463,6,439,35
1,300833.SZ,浩洋股份,65.42,0.9571428571428572,0.01630220462949875,3,47,20
2,000429.SZ,粤高速Ａ,6.99,0.9216494845360824,0.007247502931494774,38,410,37
3,300773.SZ,拉卡拉,36.3,0.9207317073170732,0.017632654816590793,26,289,13
4,300773.SZ,拉卡拉,36.28,0.9207317073170732,0.017632654816590793,26,289,13
5,000597.SZ,东北制药,6.05,0.8770833333333333,0.09034128561961552,59,415,6
6,300577.SZ,开润股份,29.7,0.8536082474226804,0.056934397605388,71,361,53
7,000402.SZ,金 融 街,6.91,0.7175257731958763,0.0070635721493441505,137,291,57
8,300429.SZ,强力新材,16.83,0.6164948453608248,0.06786554400158286,186,255,44
9,300429.SZ,强力新材,16.83,0.6164948453608248,0.06786554400158286,186,255,44
10,002202.SZ,金风科技,11.26,0.605427974947808,0.08036170301837815,189,240,50
11,002202.SZ,金风科技,11.26,0.605427974947808,0.08036170301837815,189,240,50
12,002202.SZ,金风科技,11.27,0.5991649269311065,0.08036170301837815,192,240,47
13,000651.SZ,格力电器,54.53,0.5866388308977035,0.06585611913034564,198,232,49
14,000651.SZ,格力电器,54.53,0.5866388308977035,0.06585611913034564,198,232,49
15,000036.SZ,华联控股,4.52,0.5649484536082474,0.027420736932305078,211,243,31
16,000002.SZ,万 科Ａ,27.57,0.47010309278350515,0.014523273545857312,257,159,69
17,000785.SZ,居然之家,9.89,0.43037974683544306,0.08865535448813255,270,126,78
18,000661.SZ,长春高新,451.58,0.34663865546218486,0.05035748644857241,311,133,32
19,000848.SZ,承德露露,8.25,0.3422680412371134,0.0627256156403017,319,127,39
20,002351.SZ,漫步者,18.16,0.29690721649484536,0.06942867018912657,341,133,11
21,000977.SZ,浪潮信息,35.36,0.29018789144050106,0.08014116798474984,340,130,9
22,000716.SZ,黑芝麻,4.17,0.2824742268041237,0.06819613135402598,348,90,47
23,002838.SZ,道恩股份,29.64,0.21914893617021278,0.049277536091417794,367,83,20
24,002230.SZ,科大讯飞,36.96,0.2,0.025241571263522774,388,56,41
25,002230.SZ,科大讯飞,36.98,0.1979381443298969,0.025241571263522774,389,55,41
26,002581.SZ,未名医药,19.13,0.18144329896907216,0.18018568922035302,397,83,5
27,002415.SZ,海康威视,37.2,0.07453416149068323,0.10009718676704991,447,21,15
28,002511.SZ,中顺洁柔,24.11,0.07422680412371134,0.08300241376625404,449,25,11
29,000011.SZ,深物业A,20.6,0.07216494845360824,0.2158868294850667,450,33,2
30,300677.SZ,英科医疗,144.0,0.07010309278350516,0.13551631329989242,451,34,0
31,300677.SZ,英科医疗,143.96,0.07010309278350516,0.13551631329989242,451,34,0
32,002601.SZ,龙蟒佰利,23.42,0.061855670103092786,0.09939083308826618,455,8,22
33,002508.SZ,老板电器,37.95,0.05360824742268041,0.1225303459194933,459,16,10
34,300750.SZ,宁德时代,204.25,0.05154639175257732,0.06909953325733618,460,8,17
35,002304.SZ,洋河股份,134.25,0.05154639175257732,0.058925390259367764,460,2,23
36,002304.SZ,洋河股份,134.47,0.049484536082474224,0.058925390259367764,461,2,22
37,002304.SZ,洋河股份,134.39,0.049484536082474224,0.058925390259367764,461,2,22
38,000049.SZ,德赛电池,56.34,0.04742268041237113,0.06179041600842541,462,9,14
39,300454.SZ,深信服,219.35,0.04742268041237113,0.06682240449540038,462,8,15
40,002080.SZ,中材科技,19.89,0.04536082474226804,0.14577666343401857,463,18,4
41,002080.SZ,中材科技,19.9,0.04536082474226804,0.14577666343401857,463,18,4
42,002555.SZ,三七互娱,45.88,0.04536082474226804,0.039198722214827696,463,5,17
43,002032.SZ,苏 泊 尔,83.85,0.041237113402061855,0.06463628131602774,465,0,20
44,300418.SZ,昆仑万维,27.18,0.03917525773195876,0.08239130434782611,466,6,13
45,000538.SZ,云南白药,110.5,0.03917050691244239,0.051463392563113046,417,2,15
46,000538.SZ,云南白药,110.5,0.03917050691244239,0.051463392563113046,417,2,15
47,300760.SZ,迈瑞医疗,340.5,0.0350109409190372,0.05107299002102596,441,3,13
48,300760.SZ,迈瑞医疗,340.55,0.0350109409190372,0.05107299002102596,441,3,13
49,000028.SZ,国药一致,52.89,0.026804123711340205,0.09954981992797109,472,4,9
50,300433.SZ,蓝思科技,33.82,0.024742268041237112,0.16295266237904862,473,2,10
51,002241.SZ,歌尔股份,41.47,0.020618556701030927,0.22734786050193237,475,6,4
52,002241.SZ,歌尔股份,41.56,0.020618556701030927,0.22734786050193237,475,6,4
53,000876.SZ,新 希 望,37.05,0.010309278350515464,0.12322869216837716,480,0,5
54,000876.SZ,新 希 望,37.05,0.010309278350515464,0.12322869216837716,480,0,5
55,300015.SZ,爱尔眼科,50.31,0.006263048016701462,0.06156750860115807,476,0,3
56,000858.SZ,五 粮 液,235.27,0.006185567010309278,0.14811611035510908,482,0,3
57,000858.SZ,五 粮 液,235.27,0.006185567010309278,0.14811611035510908,482,0,3
58,000596.SZ,古井贡酒,257.16,0.004123711340206186,0.23230933165924625,483,0,2
59,000568.SZ,泸州老窖,144.7,0.0,0.17901906751411173,485,0,0
