,code,name,current_price,higher_and_equal_than_today,diff,add,highest_compare_today,higher_than_today,lower_than_today,contains
0,300833.SZ,浩洋股份,55.25,0.9926470588235294,0.07347843268687254,0.697910889258643,1.6622624434389142,128,1,7
1,688108.SH,赛诺医疗,15.79,0.9296296296296296,0.2321176535588896,2.173494046059336,2.761241291956935,214,19,37
2,688256.SH,寒武纪-U,166.66,0.8947368421052632,0.05236186257107015,0.9210967741935483,1.7866914676587062,71,10,14
3,601933.SH,永辉超市,7.83,0.8760330578512396,0.02722137898429928,0.5886548278093319,1.4110217113665389,392,60,32
4,000785.SZ,居然之家,8.34,0.8160676532769556,0.0474134012182927,1.105241967952331,1.5674460431654675,353,87,33
5,600516.SH,方大炭素,6.73,0.7706611570247934,0.044656742946011976,1.6015543136570032,2.2134472511144128,337,111,36
6,300577.SZ,开润股份,30.65,0.768595041322314,0.040261926456734355,0.7771764774658533,1.3885807504078305,307,112,65
7,000402.SZ,金 融 街,6.76,0.7272727272727273,0.01679499172483267,0.5423525679438823,1.2945266272189349,305,132,47
8,688981.SH,中芯国际-U,60.33,0.6597938144329897,0.045711116929326515,0.9211324570273002,1.574672633847174,53,33,11
9,688981.SH,中芯国际-U,60.33,0.6597938144329897,0.045711116929326515,0.9211324570273002,1.574672633847174,53,33,11
10,000716.SZ,黑芝麻,3.49,0.6528925619834711,0.05473999209530793,1.3626596018692279,1.8398280802292264,285,168,31
11,688012.SH,中微公司,150.97,0.5863095238095238,0.08217521606232252,3.960053262316911,1.9739020997549181,166,139,31
12,688399.SH,硕世生物,175.81,0.5573770491803278,0.15262060702765784,9.002030221171703,2.6957294806893803,121,108,15
13,688399.SH,硕世生物,175.81,0.5573770491803278,0.15262060702765784,9.002030221171703,2.6957294806893803,121,108,15
14,600606.SH,绿地控股,6.4,0.5469728601252609,0.027375819049518912,0.9130364666276937,1.4828124999999999,201,217,61
15,603200.SH,上海洗霸,27.47,0.506198347107438,0.09669820002208565,3.6116449971735443,2.9697852202402624,215,239,30
16,600547.SH,山东黄金,24.07,0.5031055900621118,0.052638625284495866,1.3818479436849278,1.408545907769007,214,240,29
17,000977.SZ,浪潮信息,28.57,0.4895397489539749,0.056796805385960866,2.456906325539607,1.696884844242212,205,244,29
18,000848.SZ,承德露露,7.16,0.4793388429752066,0.015398649384598654,0.6816902412085365,1.318435754189944,191,252,41
19,688298.SH,东方生物,150.83,0.4251207729468599,0.0692833333900792,3.746143132454467,1.8842405357024463,60,119,28
20,688298.SH,东方生物,150.83,0.4251207729468599,0.0692833333900792,3.746143132454467,1.8842405357024463,60,119,28
21,002838.SZ,道恩股份,24.46,0.3884297520661157,0.13853122815194585,5.364578606493131,2.5230376124284546,185,296,3
22,002032.SZ,苏 泊 尔,72.59,0.384297520661157,0.04556764038684553,0.9432050190709818,1.2233089957294392,128,298,58
23,601179.SH,中国西电,4.44,0.38016528925619836,0.022938583089615477,1.6765990067659897,1.8086936936936935,156,300,28
24,000876.SZ,新 希 望,26.94,0.3512396694214876,0.0719895147725285,5.078326875711179,1.5664439495174463,149,314,21
25,000876.SZ,新 希 望,26.94,0.3512396694214876,0.0719895147725285,5.078326875711179,1.5664439495174463,149,314,21
26,603019.SH,中科曙光,34.93,0.3388773388773389,0.05585896790048433,2.090894515637704,1.5453764672201544,140,318,23
27,002351.SZ,漫步者,16.17,0.3119834710743802,0.017064557482524223,6.838782375804291,1.484230055658627,115,333,36
28,000597.SZ,东北制药,5.62,0.30736842105263157,0.03457194585740148,0.6139735024346055,1.2680604982206405,86,329,60
29,300429.SZ,强力新材,17.77,0.29958677685950413,0.028878345239364472,1.4304693511156705,1.3332020258863253,78,339,67
30,300429.SZ,强力新材,17.77,0.29958677685950413,0.028878345239364472,1.4304693511156705,1.3332020258863253,78,339,67
31,002581.SZ,未名医药,18.0,0.29958677685950413,0.07138497124682759,5.2,1.8944444444444446,115,339,30
32,600812.SH,华北制药,10.51,0.25894736842105265,0.10412467387415693,4.1707840482334,1.9257849666983824,105,352,18
33,002202.SZ,金风科技,12.4,0.2510460251046025,0.09920685279187816,0.8214565091221077,1.164233870967742,65,358,55
34,002202.SZ,金风科技,12.4,0.2510460251046025,0.09920685279187816,0.8214565091221077,1.164233870967742,65,358,55
35,603878.SH,武进不锈,8.12,0.2231404958677686,0.042763653211327884,0.9536281665951051,1.2327586206896552,81,376,27
36,603986.SH,兆易创新,214.0,0.2070393374741201,0.0953807101835516,6.46658045211303,1.4272228971962617,68,383,32
37,600127.SH,金健米业,10.87,0.2024793388429752,0.06615047218368175,5.181132075471698,1.5068997240110396,80,386,18
38,600420.SH,现代制药,10.27,0.2024793388429752,0.030144117221766957,0.4836423733269897,1.153846153846154,44,386,54
39,000538.SZ,云南白药,100.16,0.19198312236286919,0.04594574539546651,0.9687279863911679,1.2779552715654952,79,383,12
40,000538.SZ,云南白药,100.16,0.19198312236286919,0.04594574539546651,0.9687279863911679,1.2779552715654952,79,383,12
41,002230.SZ,科大讯飞,38.46,0.1859504132231405,0.06308352888311951,0.9578179844716963,1.1631149245969838,40,394,50
42,600276.SH,恒瑞医药,89.88,0.1797520661157025,0.023968997110279795,2.0537725724689313,1.1682242990654206,59,397,28
43,600276.SH,恒瑞医药,89.88,0.1797520661157025,0.023968997110279795,2.0537725724689313,1.1682242990654206,59,397,28
44,002241.SZ,歌尔股份,38.01,0.1756198347107438,0.10363102485139299,6.790737351490523,1.3214943435937911,67,399,18
45,002241.SZ,歌尔股份,38.01,0.1756198347107438,0.10363102485139299,6.790737351490523,1.3214943435937911,67,399,18
46,600988.SH,赤峰黄金,17.27,0.17154811715481172,0.054607321222764994,5.755319148936171,1.470758540822235,59,396,23
47,000002.SZ,万 科Ａ,29.41,0.15495867768595042,0.05924321860041025,0.5133720500110971,1.1128867732063923,34,409,41
48,002511.SZ,中顺洁柔,21.67,0.15289256198347106,0.02214299118033392,2.624929904670352,1.2528841716658974,55,410,19
