,code,name,current_price,percent,diff,higher,lower,contains
0,000651.SZ,格力电器,54.28,0.9375,0.044423121807007165,15,205,20
1,000651.SZ,格力电器,54.28,0.9375,0.044423121807007165,15,205,20
2,300833.SZ,浩洋股份,65.85,0.9090909090909091,0.02628577530652897,6,44,16
3,300773.SZ,拉卡拉,37.36,0.8589211618257261,0.028049298767530928,34,194,13
4,300773.SZ,拉卡拉,37.36,0.8589211618257261,0.028049298767530928,34,194,13
5,000429.SZ,粤高速Ａ,7.06,0.7634854771784232,0.017284854973445847,57,157,27
6,000597.SZ,东北制药,6.01,0.7584745762711864,0.08518893387314438,57,177,2
7,001979.SZ,招商蛇口,17.12,0.7457627118644068,0.024502741824352355,60,139,37
8,000661.SZ,长春高新,441.99,0.7166666666666667,0.047943461752458165,68,151,21
9,000402.SZ,金 融 街,6.95,0.6597510373443983,0.010539145397189578,82,131,28
10,300577.SZ,开润股份,31.22,0.6182572614107884,0.07097668828867705,92,122,27
11,000977.SZ,浪潮信息,35.68,0.574468085106383,0.06872604261024878,100,121,14
12,002202.SZ,金风科技,11.33,0.5477178423236515,0.08546677880571919,109,116,16
13,002202.SZ,金风科技,11.32,0.5477178423236515,0.08546677880571919,109,117,15
14,002202.SZ,金风科技,11.33,0.5477178423236515,0.08546677880571919,109,116,16
15,002351.SZ,漫步者,19.03,0.5394190871369294,0.0858643291864534,111,110,20
16,000785.SZ,居然之家,9.36,0.525,0.08980396224458045,114,111,15
17,300429.SZ,强力新材,16.92,0.5186721991701245,0.06665936353179615,116,83,42
18,300429.SZ,强力新材,16.9,0.5186721991701245,0.06665936353179615,116,84,41
19,000002.SZ,万 科Ａ,27.37,0.4854771784232365,0.018933553268548023,124,86,31
20,002838.SZ,道恩股份,29.93,0.3900414937759336,0.07486679086087661,147,81,13
21,002581.SZ,未名医药,21.59,0.31950207468879666,0.13862549956899917,164,62,15
22,002230.SZ,科大讯飞,38.33,0.2074688796680498,0.040547873728150316,191,25,25
23,300015.SZ,爱尔眼科,45.96,0.20425531914893616,0.0365903185659076,187,16,32
24,002230.SZ,科大讯飞,38.34,0.2033195020746888,0.040547873728150316,192,25,24
25,300750.SZ,宁德时代,195.0,0.13278008298755187,0.09263408958525056,209,24,8
26,000538.SZ,云南白药,104.63,0.12863070539419086,0.06691172172828769,210,22,9
27,000538.SZ,云南白药,104.6,0.12863070539419086,0.06691172172828769,210,22,9
28,000036.SZ,华联控股,4.62,0.12863070539419086,0.029344455138488046,210,11,20
29,300677.SZ,英科医疗,150.09,0.12448132780082988,0.16969524774246145,211,22,8
30,300677.SZ,英科医疗,150.09,0.12448132780082988,0.16969524774246145,211,22,8
31,002555.SZ,三七互娱,45.18,0.11203319502074689,0.047172078046020034,214,8,19
32,300418.SZ,昆仑万维,26.32,0.1078838174273859,0.04573670984842394,215,11,15
33,300760.SZ,迈瑞医疗,321.25,0.1078838174273859,0.06468202705432023,215,17,9
34,300760.SZ,迈瑞医疗,321.25,0.1078838174273859,0.06468202705432023,215,17,9
35,000011.SZ,深物业A,23.95,0.1037344398340249,0.27970824629111635,216,18,7
36,002304.SZ,洋河股份,133.16,0.0995850622406639,0.07399865809253126,217,4,20
37,002304.SZ,洋河股份,133.12,0.0995850622406639,0.07399865809253126,217,4,20
38,002304.SZ,洋河股份,133.12,0.0995850622406639,0.07399865809253126,217,4,20
39,002601.SZ,龙蟒佰利,23.6,0.0912863070539419,0.12390449908011374,219,6,16
40,002032.SZ,苏 泊 尔,82.85,0.08298755186721991,0.08233001325234017,221,11,9
41,000716.SZ,黑芝麻,4.44,0.07883817427385892,0.08281527531083467,222,3,16
42,002415.SZ,海康威视,38.67,0.06694560669456066,0.12497560975609762,223,4,12
43,000049.SZ,德赛电池,57.0,0.06639004149377593,0.07190164165433666,225,4,12
44,002080.SZ,中材科技,21.03,0.058091286307053944,0.16666825411943997,227,5,9
45,002080.SZ,中材科技,21.03,0.058091286307053944,0.16666825411943997,227,5,9
46,000848.SZ,承德露露,8.58,0.05394190871369295,0.07234447484239326,228,3,10
47,300454.SZ,深信服,226.12,0.04979253112033195,0.06310979261292962,229,4,8
48,002511.SZ,中顺洁柔,26.19,0.04979253112033195,0.10746366223179261,229,0,12
49,002508.SZ,老板电器,42.23,0.03319502074688797,0.1439365936878021,233,1,7
50,300433.SZ,蓝思科技,34.31,0.029045643153526972,0.11777438248026481,234,1,6
51,000028.SZ,国药一致,53.94,0.029045643153526972,0.12337176864422549,234,0,7
52,000858.SZ,五 粮 液,224.48,0.016597510373443983,0.12912126457725956,237,0,4
53,000858.SZ,五 粮 液,224.48,0.016597510373443983,0.12912126457725956,237,0,4
54,000568.SZ,泸州老窖,128.66,0.012448132780082987,0.14781415999365732,238,0,3
55,002241.SZ,歌尔股份,43.32,0.008298755186721992,0.21322714681440447,239,0,2
56,002241.SZ,歌尔股份,43.32,0.008298755186721992,0.21322714681440447,239,0,2
57,000876.SZ,新 希 望,36.68,0.008298755186721992,0.10265595517182234,239,0,2
58,000876.SZ,新 希 望,36.68,0.008298755186721992,0.10265595517182234,239,0,2
59,000596.SZ,古井贡酒,234.56,0.004149377593360996,0.20750148032275456,240,0,1
