,code,name,current_price,higher_and_equal_than_today,diff,add,highest_compare_today,higher_than_today,lower_than_today,contains
0,600516.SH,方大炭素,6.07,0.9958677685950413,0.07135282532949555,1.6015543136570032,2.4541186161449753,469,2,13
1,601328.SH,交通银行,4.61,0.9793388429752066,0.02002433661379518,0.3554525386313465,1.331930585683297,460,10,14
2,601988.SH,中国银行,3.23,0.9483471074380165,0.016249464471509795,0.1899901740150243,1.1623219814241488,420,25,39
3,300833.SZ,浩洋股份,62.44,0.9339622641509434,0.041210726602084045,0.5306666666666667,1.4708520179372198,85,7,14
4,601288.SH,农业银行,3.21,0.9214876033057852,0.010367372353673757,0.180405905245891,1.1433021806853583,397,38,49
5,600016.SH,民生银行,5.34,0.9049586776859504,0.022730998306103575,0.27146418948807666,1.1841760299625468,397,46,41
6,601169.SH,北京银行,4.73,0.8574380165289256,0.012231781901109186,0.3762447781415829,1.288520084566596,401,69,14
7,688256.SH,寒武纪-U,169.75,0.8461538461538461,0.109570102377692,0.9210967741935483,1.7541678939617082,38,10,17
8,601933.SH,永辉超市,7.91,0.8078512396694215,0.06974584044492432,0.6942387020594685,1.3967509481668772,370,93,21
9,688981.SH,中芯国际-U,57.78,0.7761194029850746,0.13906200020706386,0.9211324570273002,1.6441675320179994,39,15,13
10,688981.SH,中芯国际-U,57.91,0.7761194029850746,0.13906200020706386,0.9211324570273002,1.6404766016232086,39,15,13
11,002948.SZ,青岛银行,5.18,0.7738927738927739,0.018330821401657822,0.8201188764671802,1.6375096525096526,288,97,44
12,000716.SZ,黑芝麻,3.34,0.7148760330578512,0.11387349608107433,1.3626596018692279,1.9224550898203594,319,138,27
13,000785.SZ,居然之家,8.75,0.6892177589852009,0.0487988796725196,1.105241967952331,1.494,294,147,32
14,000402.SZ,金 融 街,6.74,0.6859504132231405,0.012186547925943373,0.5423525679438823,1.2983679525222551,290,152,42
15,600919.SH,江苏银行,6.18,0.6632231404958677,0.009221311475409905,0.3284960669833106,1.145064724919094,295,163,26
16,601319.SH,中国人保,6.89,0.6553191489361702,0.01908472375144691,2.2144404516145477,1.8305515239477506,280,162,28
17,002939.SZ,长城证券,12.76,0.6012396694214877,0.03846013100596486,0.9673494830513937,1.434592476489028,257,193,34
18,600606.SH,绿地控股,6.27,0.5908141962421712,0.14318292881576794,0.9130364666276937,1.5135566188197769,250,196,33
19,002032.SZ,苏 泊 尔,68.84,0.5785123966942148,0.07887078721552045,1.0564171562622302,1.2899477048227774,224,204,56
20,688012.SH,中微公司,150.95,0.565359477124183,0.1499877013964063,3.960053262316911,1.9741636303411727,155,133,18
21,601939.SH,建设银行,6.39,0.5599173553719008,0.03451492537313439,0.27470121983511925,1.130015649452269,214,213,57
22,002202.SZ,金风科技,11.07,0.5334728033472803,0.06875986669005428,0.9490873251606633,1.3041102077687443,218,223,37
23,002202.SZ,金风科技,11.08,0.5334728033472803,0.06875986669005428,0.9490873251606633,1.30293321299639,218,223,37
24,300577.SZ,开润股份,33.1,0.49173553719008267,0.09476857199199924,0.7771764774658533,1.2858006042296073,143,246,95
25,000848.SZ,承德露露,7.15,0.42768595041322316,0.08476720647773278,0.6816902412085365,1.32027972027972,181,277,26
26,688108.SH,赛诺医疗,21.08,0.4,0.1351916593831938,2.173494046059336,2.0683111954459203,84,144,12
27,603986.SH,兆易创新,176.21,0.38958333333333334,0.09395734476767224,6.46658045211303,1.733305147267465,161,293,26
28,600420.SH,现代制药,9.72,0.384297520661157,0.04201189199727078,0.4836423733269897,1.2191358024691357,129,298,57
29,000977.SZ,浪潮信息,30.66,0.37656903765690375,0.07497471527197576,2.456906325539607,1.5812133072407044,167,298,13
30,600547.SH,山东黄金,25.24,0.37267080745341613,0.08398093146844138,1.6932707355242567,1.3432527733755943,157,303,23
31,601211.SH,国泰君安,18.04,0.3450413223140496,0.019421998746967834,0.5532187153733423,1.204390243902439,133,317,34
32,002508.SZ,老板电器,31.87,0.34297520661157027,0.11510982593776937,1.4172004943415168,1.4053969250078442,122,318,44
33,603200.SH,上海洗霸,30.2,0.33884297520661155,0.10782342266447012,3.6116449971735443,2.7013245033112585,160,320,4
34,000651.SZ,格力电器,57.71,0.32426778242677823,0.04132617966707935,1.0819765377184165,1.1987437185929648,91,323,64
35,000651.SZ,格力电器,57.7,0.32426778242677823,0.04132617966707935,1.0819765377184165,1.198951473136915,91,323,64
36,688298.SH,东方生物,163.49,0.3220338983050847,0.130955430071022,3.746143132454467,1.7383326197320936,40,120,17
37,688298.SH,东方生物,163.65,0.3220338983050847,0.130955430071022,3.746143132454467,1.736633058356248,40,120,17
