代码,名称
300429.SZ,强力新材
688012.SH,中微公司
512760.SH,芯片ETF
300433.SZ,蓝思科技
002241.SZ,歌尔股份
000049.SZ,德赛电池
300750.SZ,宁德时代
603986.SH,兆易创新
159995.SZ,芯片ETF
688981.SH,中芯国际-U
688256.SH,寒武纪-U

数据来源: Wind
