代码,名称
000977.SZ,浪潮信息
603019.SH,中科曙光
002230.SZ,科大讯飞
515000.SH,科技ETF
002241.SZ,歌尔股份
002351.SZ,漫步者
159995.SZ,芯片ETF
512760.SH,芯片ETF
300628.SZ,忆联网络

数据来源: Wind
