代码,名称
000568.SZ,泸州老窖
000596.SZ,古井贡酒
000661.SZ,长春高新
000858.SZ,五 粮 液
002304.SZ,洋河股份
002415.SZ,海康威视
002508.SZ,老板电器
300760.SZ,迈瑞医疗
600276.SH,恒瑞医药
600519.SH,贵州茅台
600809.SH,山西汾酒
603288.SH,海天味业
603369.SH,今世缘
300750.SZ,宁德时代

数据来源: Wind
