代码,名称
000876.SZ,新 希 望
000538.SZ,云南白药
603615.SH,茶花股份
603195.SH,公牛集团
600887.SH,伊利股份
603288.SH,海天味业
600519.SH,贵州茅台
002304.SZ,洋河股份
000848.SZ,承德露露
300577.SZ,开润股份
002032.SZ,苏 泊 尔
000785.SZ,居然之家
002511.SZ,中顺洁柔
601933.SH,永辉超市
000716.SZ,黑芝麻
000858.SZ,五 粮 液
603866.SH,桃李面包
000651.SZ,格力电器

数据来源: Wind
