代码,名称
002202.SZ,金风科技
601615.SH,明阳智能
600031.SH,三一重工
603195.SH,公牛集团
601179.SH,中国西电
603615.SH,茶花股份
300677.SZ,英科医疗
603200.SH,上海洗霸
688399.SH,硕世生物
600127.SH,金健米业
002838.SZ,道恩股份
600988.SH,赤峰黄金
603878.SH,武进不锈
300833.SZ,浩洋股份
000876.SZ,新 希 望
000651.SZ,格力电器
300454.SZ,深信服
600516.SH,方大炭素
600519.SH,贵州茅台
300429.SZ,强力新材
000538.SZ,云南白药
688298.SH,东方生物
002080.SZ,中材科技
688981.SH,中芯国际-U

数据来源: Wind
